case,unique_net_count,ground_wire_cap_pf,coupling_wire_cap_pf,physical_wire_cap_pf,driver_effective_wire_cap_pf,coupling_to_physical_wire_fraction,driver_to_physical_wire_ratio,total_cap_with_pins_pf,driver_total_cap_with_pins_pf,driver_to_total_with_pins_ratio,min_timing_coupling_factor,max_timing_coupling_factor
iwls2005__ac97_ctrl,701,1.304705388,0.994182547,2.298887935,3.293070482,0.432462380,1.432462380,5.925966630,6.920149163,1.167767150,2.000000000,2.000000000
iwls2005__des,729,1.475131696,1.121976411,2.597108107,3.719084518,0.432009899,1.432009899,6.332068254,7.454044658,1.177189563,2.000000000,2.000000000
iwls2005__mem_ctrl,352,0.671859095,0.511571969,1.183431064,1.695003033,0.432278638,1.432278638,2.997444247,3.509016216,1.170669386,2.000000000,2.000000000
iwls2005__pci,545,1.266141971,0.959418300,2.225560271,3.184978571,0.431090684,1.431090684,5.100924834,6.060343132,1.188087127,2.000000000,2.000000000
iwls2005__sasc,43,0.079197367,0.060391957,0.139589324,0.199981281,0.432640228,1.432640228,0.361834059,0.422226014,1.166905114,2.000000000,2.000000000
iwls2005__simple_spi,48,0.086650787,0.066071822,0.152722609,0.218794431,0.432626331,1.432626331,0.401128122,0.467199949,1.164715021,2.000000000,2.000000000
iwls2005__spi,90,0.185678821,0.140824188,0.326503009,0.467327197,0.431310537,1.431310537,0.774725612,0.915549797,1.181772982,2.000000000,2.000000000
iwls2005__ss_pcm,33,0.055827279,0.042647002,0.098474281,0.141121283,0.433077567,1.433077567,0.264018147,0.306665150,1.161530575,2.000000000,2.000000000
iwls2005__systemcaes,241,0.571649101,0.432927724,1.004576825,1.437504549,0.430955317,1.430955317,2.285911248,2.718838966,1.189389557,2.000000000,2.000000000
iwls2005__systemcdes,71,0.146469216,0.111169311,0.257638527,0.368807838,0.431493350,1.431493350,0.623403852,0.734573164,1.178326316,2.000000000,2.000000000
iwls2005__tv80,131,0.292320227,0.221718169,0.514038396,0.735756565,0.431326085,1.431326085,1.213960325,1.435678486,1.182640368,2.000000000,2.000000000
iwls2005__usb_funct,78,0.325660501,0.244148046,0.569808547,0.813956593,0.428473822,1.428473822,0.981873235,1.226021283,1.248655365,2.000000000,2.000000000
iwls2005__usb_phy,37,0.061089702,0.046658639,0.107748341,0.154406980,0.433033479,1.433033479,0.293734410,0.340393047,1.158846344,2.000000000,2.000000000
iwls2005__vga_lcd,6036,11.300470895,8.621144217,19.921615112,28.542759329,0.432753277,1.432753277,51.390433248,60.011577385,1.167757763,2.000000000,2.000000000
iwls2005__wb_conmax,292,0.652301596,0.494386841,1.146688437,1.641075278,0.431143129,1.431143129,2.661487906,3.155874757,1.185755813,2.000000000,2.000000000
iwls2005__wb_dma,188,0.368144326,0.280508892,0.648653218,0.929162110,0.432448162,1.432448162,1.650311057,1.930819938,1.169973339,2.000000000,2.000000000
openroad__dynamic_node,827,1.642605652,1.250345163,2.892950815,4.143295978,0.432204086,1.432204086,7.148142377,8.398487535,1.174918894,2.000000000,2.000000000
openroad__ethmac,3636,7.040832666,5.363991582,12.404824248,17.768815830,0.432411736,1.432411736,31.281438092,36.645429634,1.171475222,2.000000000,2.000000000
openroad__fifo,375,0.684530883,0.522572418,1.207103301,1.729675719,0.432914414,1.432914414,3.193027256,3.715599673,1.163660494,2.000000000,2.000000000
openroad__gcd,15,0.030042927,0.022725267,0.052768194,0.075493461,0.430662209,1.430662209,0.126428542,0.149153810,1.179747924,2.000000000,2.000000000
openroad__jpeg,1582,3.659881580,2.776582148,6.436463728,9.213045876,0.431383173,1.431383173,14.922604409,17.699186545,1.186065519,2.000000000,2.000000000
openroad__spi,11,0.016654086,0.012716383,0.029370469,0.042086852,0.432964928,1.432964928,0.077619609,0.090335991,1.163829503,2.000000000,2.000000000
openroad__uart,30,0.059475951,0.045245219,0.104721170,0.149966389,0.432054178,1.432054178,0.255218926,0.300464144,1.177280027,2.000000000,2.000000000
__overall__,16091,31.977321713,24.343924215,56.321245928,80.665170143,0.432233411,1.432233411,140.263704397,164.607628437,1.173558257,2.000000000,2.000000000
