case,ecc_buffer_count,ecc_inverter_count,ecc_min_depth,ecc_max_depth,ecc_buffer_area_um2,ecc_top_wire_length_um,ecc_trunk_wire_length_um,ecc_leaf_wire_length_um,ecc_total_wire_length_um,ecc_top_total_cap_pf,ecc_trunk_total_cap_pf,ecc_leaf_total_cap_pf,ecc_total_cap_pf,ecc_trunk_slew_count,ecc_trunk_slew_avg_ns,ecc_trunk_slew_max_ns,ecc_leaf_slew_count,ecc_leaf_slew_avg_ns,ecc_leaf_slew_max_ns,ecc_max_nonleaf_fanout,ecc_avg_nonleaf_fanout,ecc_max_leaf_fanout,ecc_avg_leaf_fanout,ecc_avg_source_sink_length_um,ecc_max_source_sink_length_um,ecc_avg_source_sink_res_ohm,ecc_max_source_sink_res_ohm,ecc_dont_touch_nets,ecc_ideal_network_nets,ecc_buffer_hist,ecc_drive_hist,ecc_drive_avg,innovus_buffer_count,innovus_inverter_count,innovus_min_depth,innovus_max_depth,innovus_buffer_area_um2,innovus_top_wire_length_um,innovus_trunk_wire_length_um,innovus_leaf_wire_length_um,innovus_total_wire_length_um,innovus_top_total_cap_pf,innovus_trunk_total_cap_pf,innovus_leaf_total_cap_pf,innovus_total_cap_pf,innovus_trunk_slew_count,innovus_trunk_slew_avg_ns,innovus_trunk_slew_max_ns,innovus_leaf_slew_count,innovus_leaf_slew_avg_ns,innovus_leaf_slew_max_ns,innovus_max_nonleaf_fanout,innovus_avg_nonleaf_fanout,innovus_max_leaf_fanout,innovus_avg_leaf_fanout,innovus_avg_source_sink_length_um,innovus_max_source_sink_length_um,innovus_avg_source_sink_res_ohm,innovus_max_source_sink_res_ohm,innovus_dont_touch_nets,innovus_ideal_network_nets,innovus_buffer_hist,innovus_drive_hist,innovus_drive_avg,ecc_timing_path_count,ecc_launch_stage_avg,ecc_launch_stage_max,ecc_capture_stage_avg,ecc_capture_stage_max,ecc_clock_stage_avg,ecc_clock_stage_max,ecc_clock_stage_spread,ecc_path_clock_cell_hist,innovus_timing_path_count,innovus_launch_stage_avg,innovus_launch_stage_max,innovus_capture_stage_avg,innovus_capture_stage_max,innovus_clock_stage_avg,innovus_clock_stage_max,innovus_clock_stage_spread,innovus_path_clock_cell_hist,ecc_latency_report_total_ns,ecc_latency_report_pin,innovus_latency_report_total_ns,innovus_latency_report_pin,ecc_skew_report_skew_ns,ecc_skew_report_late_latency_ns,ecc_skew_report_early_latency_ns,ecc_skew_report_late_pin,ecc_skew_report_early_pin,innovus_skew_report_skew_ns,innovus_skew_report_late_latency_ns,innovus_skew_report_early_latency_ns,innovus_skew_report_late_pin,innovus_skew_report_early_pin,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,summary_pre_phase1_skew_max_ns,skew_max_delta_ns,skew_max_ratio,skew_max_ns_phase1_minus_pre,summary_ecc_latency_min_ns,summary_innovus_latency_min_ns,summary_pre_phase1_latency_min_ns,latency_min_delta_ns,latency_min_ratio,latency_min_ns_phase1_minus_pre,summary_ecc_latency_max_ns,summary_innovus_latency_max_ns,summary_pre_phase1_latency_max_ns,latency_max_delta_ns,latency_max_ratio,latency_max_ns_phase1_minus_pre,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,summary_pre_phase1_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_avg_ns_phase1_minus_pre,summary_ecc_buffer_count,summary_innovus_buffer_count,summary_pre_phase1_buffer_count,buffer_count_delta,buffer_count_ratio,buffer_count_phase1_minus_pre,summary_ecc_buffer_area_um2,summary_innovus_buffer_area_um2,summary_pre_phase1_buffer_area_um2,buffer_area_um2_delta,buffer_area_um2_ratio,buffer_area_um2_phase1_minus_pre,summary_ecc_clock_wire_length_um,summary_innovus_clock_wire_length_um,summary_pre_phase1_clock_wire_length_um,clock_wire_length_um_delta,clock_wire_length_um_ratio,clock_wire_length_um_phase1_minus_pre,summary_ecc_clock_total_cap_pf,summary_innovus_clock_total_cap_pf,summary_pre_phase1_clock_total_cap_pf,clock_total_cap_pf_delta,clock_total_cap_pf_ratio,clock_total_cap_pf_phase1_minus_pre,summary_ecc_clock_power_mw,summary_innovus_clock_power_mw,summary_pre_phase1_clock_power_mw,clock_power_mw_delta,clock_power_mw_ratio,clock_power_mw_phase1_minus_pre,summary_ecc_drv_max_cap_real_nets,summary_innovus_drv_max_cap_real_nets,summary_pre_phase1_drv_max_cap_real_nets,drv_max_cap_real_nets_delta,drv_max_cap_real_nets_ratio,drv_max_cap_real_nets_phase1_minus_pre,summary_ecc_drv_max_tran_real_nets,summary_innovus_drv_max_tran_real_nets,summary_pre_phase1_drv_max_tran_real_nets,drv_max_tran_real_nets_delta,drv_max_tran_real_nets_ratio,drv_max_tran_real_nets_phase1_minus_pre,latency_spread_ecc_ns,latency_spread_innovus_ns,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_area_delta_um2,trunk_wire_length_delta_um,leaf_wire_length_delta_um,total_wire_length_delta_um,trunk_total_cap_delta_pf,leaf_total_cap_delta_pf,clock_total_cap_delta_pf,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,l3_classification,l3_max_abs_combined_delay_delta_ns,l3_max_abs_arrival_delta_ns,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation
iwls2005__ac97_ctrl,700,0,5,6,2084.32,0,6485.15,6338.26,12823.4,0,2.945,3.582,6.527,232,0.03,0.062,469,0.025,0.036,4,3.01724,4,4,10.708,214.2,15.603,205.782,,,BUFX12H7L:64;BUFX16H7L:16;BUFX20H7L:5;BUFX8H7L:615,8:615;12:64;16:16;20:5,8.63429,635,0,5,5,1832.88,0,3990,7142.2,11132.2,0,2.258,3.891,6.15,161,0.034,0.06,475,0.026,0.038,4,3.9441,4,3.94947,12.084,240.6,20.924,229.908,636,636,BUFX12H7L:35;BUFX16H7L:7;BUFX8H7L:593,8:593;12:35;16:7,8.30866,100,5.98925,6,5.93,6,5.95855,6,1,BUFX12H7L:193;BUFX16H7L:193;BUFX20H7L:386;BUFX8H7L:378,100,5,5,5,5,5,5,0,BUFX12H7L:288;BUFX16H7L:214;BUFX8H7L:473,0.291,u23/int_set_reg[0]/CK,0.243,u11/dout_reg[23]/CK,0.058,0.282,0.223,u13/icc_r_reg[8]/CK,u10/wp_reg[0]/CK,0.037,0.243,0.207,u11/dout_reg[23]/CK,u12/wb_data_o_reg[23]/CK,0.061,0.031,0.062,0.03,1.96774,-0.001,0.221,0.203,0.218,0.018,1.08867,0.003,0.292,0.245,0.291,0.047,1.19184,0.001,0.2675,0.2255,0.265,0.042,1.18625,0.0025,700,635,700,65,1.10236,0,2084.32,1832.88,2102.24,251.44,1.13718,-17.92,12823.4,11132.2,12840.2,1691.21,1.15192,-16.785,6.527,6.15,6.529,0.377,1.0613,-0.002,1.914,1.736,1.926,0.178,1.10253,-0.012,0,0,1,0,,-1,0,0,0,0,,0,0.071,0.042,0.029,0,1,1,251.44,2495.15,-803.94,1691.2,0.687,-0.309,0.377,0.32563,0.95855,1,1.62535,0.887438,1.15192,1.30425,0.920586,1.0613,l3_aligned_under_50ps,0.0089866,0.0331971,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__des,728,0,6,7,2092.16,0,7366.02,7128.5,14494.5,0,3.142,3.929,7.071,233,0.034,0.06,496,0.026,0.05,4,3.12446,4,4,11.773,213,17.086,202.184,,,BUFX12H7L:1;BUFX16H7L:16;BUFX20H7L:5;BUFX8H7L:706,8:706;12:1;16:16;20:5,8.26374,679,0,5,5,1957.2,0,4768.8,8042,12810.8,0,2.589,4.23,6.819,173,0.036,0.059,507,0.026,0.044,4,3.92486,4,3.91321,13.589,277.285,22.339,265.493,680,680,BUFX12H7L:38;BUFX16H7L:6;BUFX8H7L:635,8:635;12:38;16:6,8.29455,100,7,7,6.94,7,6.94175,7,1,BUFX12H7L:103;BUFX16H7L:103;BUFX20H7L:206;BUFX8H7L:303,100,5,5,5,5,5,5,0,BUFX12H7L:188;BUFX16H7L:74;BUFX8H7L:263,0.339,uk/K_r2_reg[12]/CK,0.249,uk/K_r1_reg[1]/CK,0.074,0.339,0.265,uk/K_r2_reg[41]/CK,R3_reg[28]/CK,0.042,0.246,0.204,R4_reg[13]/CK,R5_reg[30]/CK,0.067,0.035,0.067,0.032,1.91429,0,0.262,0.204,0.223,0.058,1.28431,0.039,0.342,0.249,0.3,0.093,1.37349,0.042,0.3105,0.2285,0.27,0.082,1.35886,0.0405,728,679,727,49,1.07216,1,2092.16,1957.2,2177.84,134.96,1.06896,-85.68,14494.5,12810.8,14572.2,1683.72,1.13143,-77.665,7.071,6.819,7.157,0.252,1.03696,-0.086,1.989,1.885,2.051,0.104,1.05517,-0.062,0,0,0,0,,0,0,0,0,0,,0,0.08,0.045,0.035,1,2,1,134.96,2597.22,-913.5,1683.7,0.553,-0.301,0.252,-0.03081,1.94175,1,1.54463,0.886409,1.13143,1.2136,0.928842,1.03696,l3_aligned_under_50ps,0.010602,0.0438666,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__mem_ctrl,351,0,6,6,1046.64,0,3326.7,3258.01,6584.71,0,1.536,1.855,3.391,118,0.031,0.051,234,0.026,0.041,4,2.97458,4,3.99145,10.902,165.685,15.741,163.494,,,BUFX12H7L:32;BUFX16H7L:8;BUFX20H7L:3;BUFX8H7L:308,8:308;12:32;16:8;20:3,8.64957,312,0,4,4,901.6,0,2043.8,3905.8,5949.6,0,1.167,2.088,3.255,79,0.035,0.054,234,0.028,0.042,4,3.94937,4,3.99145,13.227,203.085,22.199,197.674,313,313,BUFX12H7L:19;BUFX16H7L:3;BUFX8H7L:290,8:290;12:19;16:3,8.32051,100,6,6,6,6,6,6,0,BUFX12H7L:200;BUFX16H7L:200;BUFX20H7L:400;BUFX8H7L:400,100,4,4,4,4,4,4,0,BUFX12H7L:206;BUFX16H7L:191;BUFX8H7L:403,0.269,u0/tms_reg[24]/CK,0.186,u2/u0/b0_last_row_reg[4]/CK,0.048,0.268,0.221,u0/u1/tms_reg[16]/CK,u6/wb_data_o_reg[16]/CK,0.037,0.185,0.148,u5/state_reg[7]/CK,u3/u0/r3_reg[19]/CK,0.039,0.029,0.045,0.01,1.34483,-0.006,0.22,0.148,0.215,0.072,1.48649,0.005,0.27,0.186,0.271,0.084,1.45161,-0.001,0.247,0.171,0.243,0.076,1.44444,0.004,351,312,351,39,1.125,0,1046.64,901.6,1055.6,145.04,1.16087,-8.96,6584.71,5949.6,6573.3,635.11,1.10675,11.415,3.391,3.255,3.395,0.136,1.04178,-0.004,0.9759,0.8827,0.9823,0.0932,1.10559,-0.0064,1,0,0,1,,1,0,0,0,0,,0,0.05,0.038,0.012,2,2,0,145.04,1282.9,-647.79,635.11,0.369,-0.233,0.136,0.32906,2,0,1.6277,0.834147,1.10675,1.3162,0.88841,1.04178,l3_aligned_under_50ps,0.0071925,0.019045,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__pci,544,0,5,6,1652,0,6280,5886.61,12166.6,0,2.657,3.059,5.716,175,0.032,0.068,370,0.026,0.048,4,3.10857,4,3.99459,12.958,128.6,17.871,127.54,,,BUFX12H7L:65;BUFX16H7L:16;BUFX20H7L:6;BUFX8H7L:457,8:457;12:65;16:16;20:6,8.84559,507,0,5,5,1458.8,0,3828.8,6168.6,9997.4,0,1.931,3.212,5.144,128,0.037,0.061,380,0.027,0.048,4,3.96094,4,3.88947,14.452,134.285,23.227,132.293,508,508,BUFX12H7L:20;BUFX16H7L:3;BUFX20H7L:3;BUFX8H7L:481,8:481;12:20;16:3;20:3,8.27613,100,5.14,6,5.16,6,5.15,6,1,BUFX12H7L:212;BUFX16H7L:148;BUFX20H7L:468;BUFX8H7L:202,100,5,5,5,5,5,5,0,BUFX12H7L:498;BUFX16H7L:112;BUFX20H7L:51;BUFX8H7L:339,0.317,configuration/pci_err_addr_reg[25]/CK,0.267,pci_target_unit/wishbone_master/wb_dat_o_reg[2]/CK,0.06,0.304,0.244,pci_target_unit/wishbone_master/burst_chopped_delayed_reg/CK,pci_target_unit/wishbone_master/wb_dat_o_reg[2]/CK,0.037,0.267,0.229,pci_target_unit/wishbone_master/addr_cnt_out_reg[16]/CK,pci_target_unit/wishbone_master/addr_cnt_out_reg[18]/CK,0.077,0.047,0.073,0.03,1.6383,0.004,0.232,0.211,0.23,0.021,1.09953,0.002,0.319,0.268,0.314,0.051,1.1903,0.005,0.2725,0.2325,0.273,0.04,1.17204,-0.0005,544,507,544,37,1.07298,0,1652,1458.8,1734.88,193.2,1.13244,-82.88,12166.6,9997.4,12138.8,2169.22,1.21698,27.8,5.716,5.144,5.761,0.572,1.1112,-0.045,1.598,1.419,1.641,0.179,1.12615,-0.043,1,2,0,-1,0.5,1,0,0,0,0,,0,0.087,0.057,0.03,0,1,1,193.2,2451.2,-281.99,2169.2,0.726,-0.153,0.572,0.56946,0.15,1,1.6402,0.954286,1.21698,1.37597,0.952366,1.1112,l3_aligned_under_50ps,0.0128234,0.0456501,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__sasc,42,0,3,4,128.8,0,389.6,377.4,767,0,0.171,0.213,0.384,14,0.027,0.042,29,0.024,0.029,4,3,4,4,10.648,57.685,15.685,65.146,,,BUFX16H7L:5;BUFX8H7L:37,8:37;16:5,8.95238,39,0,3,3,118.16,0,218.6,488,706.6,0,0.133,0.235,0.368,11,0.024,0.032,29,0.026,0.032,4,3.54545,4,4,12.395,57.2,21.226,59.781,40,40,BUFX12H7L:8;BUFX8H7L:31,8:31;12:8,8.82051,100,3.51,4,3.88,4,3.695,4,1,BUFX16H7L:400;BUFX8H7L:339,100,3,3,3,3,3,3,0,BUFX12H7L:348;BUFX8H7L:252,0.159,tx_fifo/mem_reg[3][5]/CK,0.115,rx_fifo/mem_reg[1][2]/CK,0.051,0.159,0.108,rxd_s_reg/CK,rx_bit_cnt_reg[0]/CK,0.018,0.115,0.097,load_reg/CK,tx_bit_cnt_reg[3]/CK,0.045,0.012,0.046,0.033,3.75,-0.001,0.108,0.097,0.105,0.011,1.1134,0.003,0.159,0.115,0.158,0.044,1.38261,0.001,0.144,0.1065,0.142,0.0375,1.35211,0.002,42,39,42,3,1.07692,0,128.8,118.16,134.4,10.64,1.09005,-5.6,767,706.6,774.455,60.4,1.08548,-7.455,0.384,0.368,0.399,0.016,1.04348,-0.015,0.1137,0.1068,0.119,0.0069,1.06461,-0.0053,0,0,0,0,,0,0,0,0,0,,0,0.051,0.018,0.033,0,1,1,10.64,171,-110.6,60.4,0.038,-0.022,0.016,0.13187,0.695,1,1.78225,0.773361,1.08548,1.28571,0.906383,1.04348,l3_aligned_under_50ps,0.0048578,0.0112641,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__simple_spi,47,0,4,4,142.8,0,400.6,459.125,859.725,0,0.188,0.252,0.44,15,0.029,0.039,33,0.025,0.03,4,3.13333,4,3.93939,11.318,63.685,16.514,67.764,,,BUFX16H7L:5;BUFX8H7L:42,8:42;16:5,8.85106,45,0,3,3,136.08,0,243.8,524.6,768.4,0,0.154,0.262,0.416,13,0.024,0.028,33,0.025,0.032,4,3.46154,4,3.93939,11.33,62.285,20.283,71.486,46,46,BUFX12H7L:9;BUFX8H7L:36,8:36;12:9,8.8,100,4,4,4,4,4,4,0,BUFX16H7L:400;BUFX8H7L:400,100,3,3,3,3,3,3,0,BUFX12H7L:301;BUFX8H7L:281,0.160,wfifo/mem_reg[3][5]/CK,0.109,spcr_reg[1]/CK,0.023,0.16,0.137,wfifo/mem_reg[0][2]/CK,treg_reg[1]/CK,0.013,0.108,0.096,sper_reg[4]/CK,dat_o_reg[4]/CK,0.017,0.008,0.017,0.009,2.125,0,0.136,0.095,0.136,0.041,1.43158,0,0.16,0.109,0.16,0.051,1.46789,0,0.15,0.102,0.15,0.048,1.47059,0,47,45,47,2,1.04444,0,142.8,136.08,142.8,6.72,1.04938,0,859.725,768.4,859.725,91.325,1.11885,0,0.44,0.416,0.44,0.024,1.05769,0,0.1283,0.1212,0.1283,0.0071,1.05858,0,0,0,0,0,,0,0,0,0,0,,0,0.024,0.014,0.01,1,1,0,6.72,156.8,-65.475,91.325,0.034,-0.01,0.024,0.05106,1,0,1.64315,0.875191,1.11885,1.22078,0.961832,1.05769,l3_aligned_under_50ps,0.005204,0.00955043,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__spi,89,0,5,5,260.4,0,931,862,1793,0,0.406,0.461,0.866,32,0.032,0.051,58,0.026,0.033,4,2.78125,4,3.94828,11.651,72.885,16.581,79.039,,,BUFX16H7L:5;BUFX8H7L:84,8:84;16:5,8.44944,77,0,3,3,238,0,507.4,969,1476.4,0,0.307,0.498,0.804,20,0.027,0.035,58,0.027,0.038,4,3.85,4,3.94828,13.307,78,22.064,78.792,78,78,BUFX12H7L:12;BUFX16H7L:4;BUFX8H7L:61,8:61;12:12;16:4,9.03896,100,5,5,5,5,5,5,0,BUFX16H7L:400;BUFX8H7L:600,100,3,3,3,3,3,3,0,BUFX12H7L:194;BUFX16H7L:188;BUFX8H7L:218,0.230,shift/data_reg[30]/CK,0.122,shift/data_reg[127]/CK,0.039,0.222,0.182,shift/data_reg[79]/CK,wb_dat_o_reg[15]/CK,0.019,0.119,0.099,shift/cnt_reg[1]/CK,shift/data_reg[14]/CK,0.04,0.017,0.033,0.023,2.35294,0.007,0.181,0.099,0.181,0.082,1.82828,0,0.23,0.122,0.224,0.108,1.88525,0.006,0.204,0.111,0.2015,0.093,1.83784,0.0025,89,77,89,12,1.15584,0,260.4,238,278.32,22.4,1.09412,-17.92,1793,1476.4,1801.98,316.6,1.21444,-8.985,0.866,0.804,0.881,0.062,1.07711,-0.015,0.2441,0.2231,0.255,0.021,1.09413,-0.0109,0,0,0,0,,0,0,0,0,0,,0,0.049,0.023,0.026,2,2,0,22.4,423.6,-107,316.6,0.099,-0.037,0.062,-0.58952,2,0,1.83484,0.889577,1.21444,1.32248,0.925703,1.07711,l3_aligned_under_50ps,0.0073203,0.0257097,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__ss_pcm,32,0,4,4,92.96,0,280.6,267.6,548.2,0,0.123,0.15,0.273,11,0.027,0.038,22,0.023,0.025,4,2.90909,4,3.95455,10.809,49.6,15.857,52.834,,,BUFX12H7L:3;BUFX8H7L:29,8:29;12:3,8.375,30,0,3,3,86.24,0,165,317.6,482.6,0,0.097,0.167,0.264,9,0.026,0.034,22,0.025,0.029,4,3.33333,4,3.95455,11.374,47.4,20.284,50.824,31,31,BUFX16H7L:1;BUFX8H7L:29,8:29;16:1,8.26667,87,4,4,4,4,4,4,0,BUFX12H7L:318;BUFX8H7L:318,87,3,3,3,3,3,3,0,BUFX16H7L:130;BUFX8H7L:341,0.153,rx_hold_reg_reg[9]/CK,0.110,tx_hold_byte_l_reg[4]/CK,0.024,0.152,0.127,rx_hold_reg_reg[7]/CK,rx_reg_reg[7]/CK,0.012,0.109,0.095,pcm_sync_r2_reg/CK,pcm_sync_r3_reg/CK,0.019,0.009,0.043,0.01,2.11111,-0.024,0.127,0.095,0.1,0.032,1.33684,0.027,0.153,0.11,0.149,0.043,1.39091,0.004,0.144,0.103,0.1315,0.041,1.39806,0.0125,32,30,33,2,1.06667,-1,92.96,86.24,103.6,6.72,1.07792,-10.64,548.2,482.6,535.8,65.6,1.13593,12.4,0.273,0.264,0.279,0.009,1.03409,-0.006,0.08117,0.07606,0.08698,0.00511,1.06718,-0.00581,0,0,0,0,,0,0,0,0,0,,0,0.026,0.015,0.011,1,1,0,6.72,115.6,-50,65.6,0.026,-0.017,0.009,0.10833,1,0,1.70061,0.842569,1.13593,1.26804,0.898204,1.03409,l3_aligned_under_50ps,0.0056323,0.0103275,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__systemcaes,240,0,5,5,706.72,0,2779.3,2741.25,5520.55,0,1.227,1.49,2.718,73,0.037,0.072,168,0.028,0.045,4,3.28767,4,3.9881,12.865,166.6,17.916,164.773,,,BUFX12H7L:16;BUFX20H7L:5;BUFX8H7L:219,8:219;12:16;20:5,8.51667,228,0,4,4,652.96,0,1799.4,2898.6,4698,0,0.962,1.574,2.537,58,0.039,0.058,171,0.028,0.043,4,3.93103,4,3.91813,14.789,192,23.866,187.989,229,229,BUFX12H7L:9;BUFX16H7L:2;BUFX8H7L:217,8:217;12:9;16:2,8.22807,100,5,5,5,5,5,5,0,BUFX12H7L:200;BUFX20H7L:400;BUFX8H7L:400,100,4,4,4,4,4,4,0,BUFX12H7L:209;BUFX16H7L:131;BUFX8H7L:460,0.270,mix1/data_o_reg_reg[62]/CK,0.207,addroundkey_data_reg_reg[34]/CK,0.052,0.269,0.216,sub1/data_reg_reg[125]/CK,mix1/data_reg_reg[83]/CK,0.045,0.207,0.162,addroundkey_data_reg_reg[76]/CK,mix1/data_reg_reg[79]/CK,0.047,0.037,0.047,0.01,1.27027,0,0.214,0.162,0.214,0.052,1.32099,0,0.271,0.207,0.271,0.064,1.30918,0,0.245,0.1805,0.245,0.0645,1.35734,0,240,228,240,12,1.05263,0,706.72,652.96,706.72,53.76,1.08233,0,5520.55,4698,5520.55,822.55,1.17509,0,2.718,2.537,2.718,0.181,1.07134,0,0.7182,0.6629,0.7182,0.0553,1.08342,0,0,0,0,0,,0,0,0,0,0,,0,0.057,0.045,0.012,1,1,0,53.76,979.9,-157.35,822.55,0.265,-0.084,0.181,0.2886,1,0,1.54457,0.945715,1.17509,1.27547,0.946633,1.07134,l3_aligned_under_50ps,0.0073211,0.0176055,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
iwls2005__systemcdes,70,0,4,4,207.2,0,766.8,666.85,1433.65,0,0.327,0.381,0.708,22,0.032,0.048,49,0.025,0.035,4,3.18182,4,3.87755,11.812,90.4,16.69,95.126,,,BUFX16H7L:5;BUFX8H7L:65,8:65;16:5,8.57143,66,0,3,3,191.52,0,445.2,738,1183.2,0,0.246,0.406,0.652,18,0.03,0.038,49,0.026,0.042,4,3.66667,4,3.87755,12.734,98.4,21.435,105.793,67,67,BUFX12H7L:4;BUFX16H7L:1;BUFX8H7L:61,8:61;12:4;16:1,8.36364,100,4,4,4,4,4,4,0,BUFX16H7L:400;BUFX8H7L:400,100,3,3,3,3,3,3,0,BUFX12H7L:81;BUFX16H7L:37;BUFX8H7L:482,0.185,rd1/Key_o_reg[52]/CK,0.124,data_o_reg[63]/CK,0.034,0.185,0.151,rd1/R_o_reg[8]/CK,rd1/R_o_reg[28]/CK,0.02,0.123,0.103,stage1_iter_reg[0]/CK,rd1/Key_o_reg[1]/CK,0.026,0.017,0.029,0.009,1.52941,-0.003,0.151,0.101,0.138,0.05,1.49505,0.013,0.185,0.124,0.174,0.061,1.49194,0.011,0.1695,0.113,0.156,0.0565,1.5,0.0135,70,66,70,4,1.06061,0,207.2,191.52,212.8,15.68,1.08187,-5.6,1433.65,1183.2,1421.25,250.45,1.21167,12.4,0.708,0.652,0.701,0.056,1.08589,0.007,0.1961,0.1787,0.1983,0.0174,1.09737,-0.0022,0,0,0,0,,0,0,0,0,0,,0,0.034,0.023,0.011,1,1,0,15.68,321.6,-71.15,250.45,0.081,-0.025,0.056,0.20779,1,0,1.72237,0.903591,1.21167,1.32927,0.938424,1.08589,l3_aligned_under_50ps,0.0045437,0.0170835,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection
