case,metric,unit,innovus,phase1,phase3_shape,phase3_full_depth,phase3_shape_minus_phase1,phase3_full_minus_phase1,phase1_abs_error,phase3_full_abs_error,abs_error_improvement
iwls2005__des,latency_avg_ns,ns,0.2285,0.3105,0.3105,0.3105,0.0,0.0,0.08199999999999999,0.08199999999999999,0.0
iwls2005__des,skew_max_ns,ns,0.035,0.067,0.067,0.067,0.0,0.0,0.032,0.032,0.0
iwls2005__des,buffer_count,count,679.0,728.0,728.0,728.0,0.0,0.0,49.0,49.0,0.0
iwls2005__des,clock_wire_length_um,um,12810.8,14494.518,14494.518,14494.518,0.0,0.0,1683.7180000000008,1683.7180000000008,0.0
iwls2005__des,clock_total_cap_pf,pF,6.819,7.071,7.071,7.071,0.0,0.0,0.2519999999999998,0.2519999999999998,0.0
iwls2005__des,clock_power_mw,mW,1.885,1.989,1.989,1.989,0.0,0.0,0.10400000000000009,0.10400000000000009,0.0
iwls2005__des,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__des,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__spi,latency_avg_ns,ns,0.111,0.20400000000000001,0.20400000000000001,0.20400000000000001,0.0,0.0,0.09300000000000001,0.09300000000000001,0.0
iwls2005__spi,skew_max_ns,ns,0.017,0.04,0.04,0.04,0.0,0.0,0.023,0.023,0.0
iwls2005__spi,buffer_count,count,77.0,89.0,89.0,89.0,0.0,0.0,12.0,12.0,0.0
iwls2005__spi,clock_wire_length_um,um,1476.4,1793.0,1793.0,1793.0,0.0,0.0,316.5999999999999,316.5999999999999,0.0
iwls2005__spi,clock_total_cap_pf,pF,0.804,0.866,0.866,0.866,0.0,0.0,0.061999999999999944,0.061999999999999944,0.0
iwls2005__spi,clock_power_mw,mW,0.2231,0.2441,0.2441,0.2441,0.0,0.0,0.02100000000000002,0.02100000000000002,0.0
iwls2005__spi,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__spi,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__usb_funct,latency_avg_ns,ns,0.136,0.219,0.219,0.219,0.0,0.0,0.08299999999999999,0.08299999999999999,0.0
iwls2005__usb_funct,skew_max_ns,ns,0.026,0.064,0.064,0.064,0.0,0.0,0.038000000000000006,0.038000000000000006,0.0
iwls2005__usb_funct,buffer_count,count,84.0,77.0,77.0,77.0,0.0,0.0,7.0,7.0,0.0
iwls2005__usb_funct,clock_wire_length_um,um,2071.4,3060.125,3060.125,3060.125,0.0,0.0,988.7249999999999,988.7249999999999,0.0
iwls2005__usb_funct,clock_total_cap_pf,pF,0.936,1.114,1.114,1.114,0.0,0.0,0.17800000000000005,0.17800000000000005,0.0
iwls2005__usb_funct,clock_power_mw,mW,0.2419,0.263,0.263,0.263,0.0,0.0,0.021100000000000008,0.021100000000000008,0.0
iwls2005__usb_funct,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__usb_funct,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwls2005__vga_lcd,latency_avg_ns,ns,0.4635,0.6445000000000001,0.6445000000000001,0.6445000000000001,0.0,0.0,0.18100000000000005,0.18100000000000005,0.0
iwls2005__vga_lcd,skew_max_ns,ns,0.069,0.12,0.12,0.12,0.0,0.0,0.05099999999999999,0.05099999999999999,0.0
iwls2005__vga_lcd,buffer_count,count,5770.0,6035.0,6035.0,6035.0,0.0,0.0,265.0,265.0,0.0
iwls2005__vga_lcd,clock_wire_length_um,um,97158.8,111196.625,111196.625,111196.625,0.0,0.0,14037.824999999997,14037.824999999997,0.0
iwls2005__vga_lcd,clock_total_cap_pf,pF,60.876,61.157,61.157,61.157,0.0,0.0,0.2809999999999988,0.2809999999999988,0.0
iwls2005__vga_lcd,clock_power_mw,mW,16.36,16.89,16.89,16.89,0.0,0.0,0.5300000000000011,0.5300000000000011,0.0
iwls2005__vga_lcd,drv_max_cap_real_nets,count,6.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0
iwls2005__vga_lcd,drv_max_tran_real_nets,count,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
openroad__dynamic_node,latency_avg_ns,ns,0.24,0.372,0.28600000000000003,0.28600000000000003,-0.08599999999999997,-0.08599999999999997,0.132,0.04600000000000004,0.08599999999999997
openroad__dynamic_node,skew_max_ns,ns,0.044,0.062,0.059,0.059,-0.0030000000000000027,-0.0030000000000000027,0.018000000000000002,0.015,0.0030000000000000027
openroad__dynamic_node,buffer_count,count,767.0,826.0,824.0,824.0,-2.0,-2.0,59.0,57.0,2.0
openroad__dynamic_node,clock_wire_length_um,um,14197.2,15979.195,15946.16,15946.16,-33.034999999999854,-33.034999999999854,1781.994999999999,1748.9599999999991,33.034999999999854
openroad__dynamic_node,clock_total_cap_pf,pF,7.95,8.28,8.346,8.346,0.06600000000000072,0.06600000000000072,0.3299999999999992,0.3959999999999999,-0.06600000000000072
openroad__dynamic_node,clock_power_mw,mW,2.154,2.276,2.424,2.424,0.14800000000000013,0.14800000000000013,0.12199999999999989,0.27,-0.14800000000000013
openroad__dynamic_node,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad__dynamic_node,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad__gcd,latency_avg_ns,ns,0.0615,0.113,0.113,0.113,0.0,0.0,0.051500000000000004,0.051500000000000004,0.0
openroad__gcd,skew_max_ns,ns,0.009,0.035,0.035,0.035,0.0,0.0,0.026000000000000002,0.026000000000000002,0.0
openroad__gcd,buffer_count,count,12.0,14.0,14.0,14.0,0.0,0.0,2.0,2.0,0.0
openroad__gcd,clock_wire_length_um,um,217.0,284.8,284.8,284.8,0.0,0.0,67.80000000000001,67.80000000000001,0.0
openroad__gcd,clock_total_cap_pf,pF,0.119,0.142,0.142,0.142,0.0,0.0,0.022999999999999993,0.022999999999999993,0.0
openroad__gcd,clock_power_mw,mW,0.0335,0.04178,0.04178,0.04178,0.0,0.0,0.008279999999999996,0.008279999999999996,0.0
openroad__gcd,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad__gcd,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad__uart,latency_avg_ns,ns,0.0815,0.145,0.145,0.145,0.0,0.0,0.06349999999999999,0.06349999999999999,0.0
openroad__uart,skew_max_ns,ns,0.025,0.01,0.01,0.01,0.0,0.0,0.015000000000000001,0.015000000000000001,0.0
openroad__uart,buffer_count,count,26.0,29.0,29.0,29.0,0.0,0.0,3.0,3.0,0.0
openroad__uart,clock_wire_length_um,um,471.0,562.9,562.9,562.9,0.0,0.0,91.89999999999998,91.89999999999998,0.0
openroad__uart,clock_total_cap_pf,pF,0.248,0.272,0.272,0.272,0.0,0.0,0.02400000000000002,0.02400000000000002,0.0
openroad__uart,clock_power_mw,mW,0.06888,0.07715,0.07715,0.07715,0.0,0.0,0.00827,0.00827,0.0
openroad__uart,drv_max_cap_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openroad__uart,drv_max_tran_real_nets,count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
