metric,unit,run,case_count,mean_delta,mae,mse,rmse,r2,geomean_ratio
latency_avg_ns,ns,phase1,23,0.0619565,0.0619565,0.005108,0.0714703,0.514746,1.40284
latency_avg_ns,ns,phase4_iter09_kary_buffer_first,23,0.0404783,0.0444783,0.00270311,0.0519914,0.743208,1.30273
latency_avg_ns,ns,phase3_full_depth_focus,7,0.0857143,0.0857143,0.00911764,0.0954863,0.450824,1.55296
skew_max_ns,ns,phase1,23,0.0178696,0.0212609,0.000649261,0.0254806,-1.2344,1.58908
skew_max_ns,ns,phase4_iter09_kary_buffer_first,23,0.0205652,0.021087,0.000802565,0.0283296,-1.76199,1.67002
skew_max_ns,ns,phase3_full_depth_focus,7,0.0242857,0.0285714,0.000960571,0.0309931,-1.84812,1.69514
buffer_count,count,phase1,23,37.3913,38,6116.78,78.2099,0.996428,1.07098
buffer_count,count,phase4_iter09_kary_buffer_first,23,20.1739,20.8696,1607.39,40.0923,0.999061,1.05149
buffer_count,count,phase3_full_depth_focus,7,54.4286,56.4286,10868.7,104.253,0.997129,1.07518
clock_wire_length_um,um,phase1,23,1852.72,1852.72,1.44767e+07,3804.83,0.970931,1.17755
clock_wire_length_um,um,phase4_iter09_kary_buffer_first,23,1831.49,1831.49,1.45758e+07,3817.82,0.970732,1.17192
clock_wire_length_um,um,phase3_full_depth_focus,7,2705.08,2705.08,2.91493e+07,5399.01,0.972637,1.22302
clock_total_cap_pf,pF,phase1,23,0.200913,0.200913,0.0874647,0.295744,0.99954,1.06741
clock_total_cap_pf,pF,phase4_iter09_kary_buffer_first,23,0.175696,0.176217,0.0821814,0.286673,0.999568,1.06651
clock_total_cap_pf,pF,phase3_full_depth_focus,7,0.173714,0.173714,0.0479877,0.219061,0.999886,1.09058
clock_power_mw,mW,phase1,23,0.098997,0.098997,0.0293883,0.17143,0.997871,1.08483
clock_power_mw,mW,phase4_iter09_kary_buffer_first,23,0.0801957,0.0806217,0.015682,0.125228,0.998864,1.09033
clock_power_mw,mW,phase3_full_depth_focus,7,0.137521,0.137521,0.0522342,0.228548,0.998285,1.10699
drv_max_cap_real_nets,count,phase1,23,-0.347826,0.434783,0.956522,0.978019,0.691463,
drv_max_cap_real_nets,count,phase4_iter09_kary_buffer_first,23,-0.0869565,0.347826,0.695652,0.834058,0.77561,
drv_max_cap_real_nets,count,phase3_full_depth_focus,7,-0.428571,0.428571,1.28571,1.13389,0.708333,
drv_max_tran_real_nets,count,phase1,23,0,0,0,0,1,
drv_max_tran_real_nets,count,phase4_iter09_kary_buffer_first,23,0.0434783,0.304348,0.652174,0.807573,-0.00877193,
drv_max_tran_real_nets,count,phase3_full_depth_focus,7,0,0,0,0,1,
