metric,unit,run,case_count,mean_delta,mae,mse,rmse,r2,geomean_ratio
latency_avg_ns,ns,phase1,23,0.0619565,0.0619565,0.005108,0.0714703,0.514746,1.40284
latency_avg_ns,ns,adaptive_wirelength_grid,23,0.0543913,0.0590435,0.00488867,0.0699191,0.535582,1.36336
latency_avg_ns,ns,phase3_full_depth_focus,7,0.0857143,0.0857143,0.00911764,0.0954863,0.450824,1.55296
skew_max_ns,ns,phase1,23,0.0178696,0.0212609,0.000649261,0.0254806,-1.2344,1.58908
skew_max_ns,ns,adaptive_wirelength_grid,23,0.0185217,0.0190435,0.000614261,0.0247843,-1.11395,1.62712
skew_max_ns,ns,phase3_full_depth_focus,7,0.0242857,0.0285714,0.000960571,0.0309931,-1.84812,1.69514
buffer_count,count,phase1,23,37.3913,38,6116.78,78.2099,0.996428,1.07098
buffer_count,count,adaptive_wirelength_grid,23,23.6522,24.2609,1954.09,44.2051,0.998859,1.05577
buffer_count,count,phase3_full_depth_focus,7,54.4286,56.4286,10868.7,104.253,0.997129,1.07518
clock_wire_length_um,um,phase1,23,1852.72,1852.72,1.44767e+07,3804.83,0.970931,1.17755
clock_wire_length_um,um,adaptive_wirelength_grid,23,1752.77,1752.77,1.19699e+07,3459.75,0.975965,1.1716
clock_wire_length_um,um,phase3_full_depth_focus,7,2705.08,2705.08,2.91493e+07,5399.01,0.972637,1.22302
clock_total_cap_pf,pF,phase1,23,0.200913,0.200913,0.0874647,0.295744,0.99954,1.06741
clock_total_cap_pf,pF,adaptive_wirelength_grid,23,0.165391,0.234522,0.151308,0.388983,0.999204,1.0684
clock_total_cap_pf,pF,phase3_full_depth_focus,7,0.173714,0.173714,0.0479877,0.219061,0.999886,1.09058
clock_power_mw,mW,phase1,23,0.098997,0.098997,0.0293883,0.17143,0.997871,1.08483
clock_power_mw,mW,adaptive_wirelength_grid,23,0.0843435,0.0843435,0.022573,0.150243,0.998365,1.09606
clock_power_mw,mW,phase3_full_depth_focus,7,0.137521,0.137521,0.0522342,0.228548,0.998285,1.10699
drv_max_cap_real_nets,count,phase1,23,-0.347826,0.434783,0.956522,0.978019,0.691463,
drv_max_cap_real_nets,count,adaptive_wirelength_grid,23,0.26087,0.608696,1.73913,1.31876,0.439024,
drv_max_cap_real_nets,count,phase3_full_depth_focus,7,-0.428571,0.428571,1.28571,1.13389,0.708333,
drv_max_tran_real_nets,count,phase1,23,0,0,0,0,1,
drv_max_tran_real_nets,count,adaptive_wirelength_grid,23,0.0869565,0.173913,0.26087,0.510754,0.596491,
drv_max_tran_real_nets,count,phase3_full_depth_focus,7,0,0,0,0,1,
