field,case_count,phase1_mean,candidate_mean,candidate_minus_phase1_mean,abs_error_improved_cases,abs_error_worsened_cases,unchanged_cases
latency_avg_delta_ns,23,0.0619565,0.0543913,-0.00756522,13,9,1
skew_max_delta_ns,23,0.0178696,0.0185217,0.000652174,9,10,4
tree_max_depth_delta,23,1.30435,1.21739,-0.0869565,5,3,15
timing_clock_stage_avg_delta,23,1.22417,1.06214,-0.162031,10,5,8
timing_clock_stage_spread_delta,23,0.217391,0.304348,0.0869565,4,2,17
trunk_wire_length_ratio,23,1.64151,1.61869,-0.0228278,13,9,1
leaf_wire_length_ratio,23,0.924568,0.928144,0.00357587,9,13,1
clock_total_cap_ratio,23,1.06837,1.06949,0.00111787,11,10,2
buffer_count_delta,23,37.3913,23.6522,-13.7391,12,8,3
htree_selected_depth_minus_innovus_max_depth,23,-0.0434783,-2.04348,-2,0,15,8
ecc_report_depth_minus_htree_selected_depth,23,1.34783,3.26087,1.91304,1,16,6
selected_depth_row_split_groups,23,50.5217,15.2174,-35.3043,11,3,9
selected_depth_row_split_buffers,23,113.652,153.696,40.0435,12,8,3
selected_depth_row_split_local_depth,0,,,,0,0,0
first_hard_fail_load_count,0,,,,0,0,0
first_hard_fail_loads_over_two_level,0,,,,0,0,0
cluster_leaf_mean_distance,23,8.3487,8.82957,0.48087,6,15,2
cluster_leaf_max_distance,23,25.8896,27.3913,1.50174,7,14,2
cluster_count_minus_min_legal,23,0.130435,0.130435,0,0,0,23
source_segment_selected_buffer_count,23,0.130435,0.304348,0.173913,1,5,17
