case,old_wirelength_unit_um,new_wirelength_unit_um,old_selected_level_count,new_selected_level_count,old_direct_wirelength_points,new_direct_wirelength_points,old_required_covering_iterations,new_required_covering_iterations,old_selected_path_delta_um,new_selected_path_delta_um,selected_path_delta_reduction_um,old_selected_path_rel_error_ratio,new_selected_path_rel_error_ratio,selected_path_rel_error_delta,old_full_mean_rel_error_ratio,new_full_mean_rel_error_ratio,old_full_max_rel_error_ratio,new_full_max_rel_error_ratio,new_selected_indices,source_length_um,old_source_length_idx,new_source_length_idx,old_total_runtime_s,new_total_runtime_s,total_runtime_delta_s,old_synthesis_runtime_s,new_synthesis_runtime_s,synthesis_runtime_delta_s
iwls2005__ac97_ctrl,42.6972,21.5715,3,4,4,3,5,10,105.5122,10.269000000000004,95.2432,0.700282071533341,0.06327054952773518,-0.6370115220056058,1.2833693114957212,0.21610494606039618,2.67066712517194,0.8544962173314994,"4,2,1,1",213.486,5,10,14.76,18.998,4.238000000000001,2.367,6.364,3.997
iwls2005__des,48.016,24.8635,3,4,4,3,5,10,114.941,12.145999999999994,102.79500000000002,0.6638041061476712,0.06503464302159966,-0.5987694631260715,1.2225405568445038,0.21336923390335136,2.5287719556110826,0.8272580289556846,"4,2,1,1",240.08,5,10,15.014,18.998,3.9840000000000018,2.374,6.287,3.913
iwls2005__mem_ctrl,41.0123,33.441,2,2,3,2,4,5,23.117900000000013,0.4040000000000106,22.713900000000002,0.23136640678949963,0.004043275052792868,-0.22732313173670676,0.6674685878324246,0.3596364272597272,1.5421372342403772,1.0728320833075067,"2,1",164.049,4,5,14.192,14.328,0.13599999999999923,1.782,1.751,-0.03100000000000014
iwls2005__pci,26.0482,27.2665,3,3,3,3,5,5,46.62080000000002,30.319,16.301800000000018,0.24822988823989828,0.16143184976545819,-0.08679803847444009,0.377516127488657,0.37944391513307885,0.7294558974869702,0.8103442552202635,"4,2,2",130.241,5,5,14.829,14.78,-0.049000000000001265,2.416,2.033,-0.383
iwls2005__sasc,19.1193,10.702,2,2,3,2,3,6,25.270899999999997,0.019000000000000128,25.2519,0.7875744070807491,0.0005921401190513331,-0.7869822669616978,0.7881052225854006,0.000889263315548073,0.7896939062061218,0.001778526631096146,"2,1",57.358,4,6,14.015,14.408,0.3929999999999989,1.615,1.892,0.2769999999999999
iwls2005__simple_spi,21.118,11.282,1,1,3,2,3,6,19.671999999999997,0.0,19.671999999999997,0.8718312355965253,0.0,-0.8718312355965253,0.9767238977391202,0.05603745687530806,1.0816165598817151,0.11207491375061612,2,63.354,3,6,13.974,14.424,0.4499999999999993,1.61,1.872,0.262
iwls2005__spi,25.1037,19.805,2,2,3,2,3,4,18.4651,2.568999999999999,15.8961,0.3248267248355205,0.04519227386271679,-0.2796344509728037,0.3620062839712024,0.07452425156648872,0.45646901833372006,0.14904850313297743,"2,1",75.311,3,4,14.078,14.145,0.06700000000000017,1.614,1.564,-0.050000000000000044
iwls2005__ss_pcm,15.678,8.4785,1,1,3,2,3,6,14.399000000000001,0.0,14.399000000000001,0.8491478445479743,0.0,-0.8491478445479743,0.8709701555228102,0.011801279729566638,0.892792466497646,0.023602559459133275,2,47.034,3,6,14.028,14.327,0.2989999999999995,1.618,1.88,0.2619999999999998
iwls2005__systemcaes,41.599,34.8875,2,2,3,2,4,5,23.908999999999985,3.7745000000000033,20.13449999999998,0.23698556815478533,0.03741277456189045,-0.19957279359289487,0.7338295972365025,0.4540969752539361,1.6720837615621789,1.2409750770811925,"2,1",166.396,4,5,14.169,14.358,0.18900000000000006,1.78,1.754,-0.026000000000000023
iwls2005__systemcdes,30.1087,15.767,1,1,3,2,3,6,29.586399999999998,0.9029999999999987,28.6834,0.9658972935914596,0.029479938624269487,-0.9364173549671901,0.937749813790085,0.014739969312134744,0.9658972935914596,0.029479938624269487,2,90.326,3,6,13.88,14.563,0.6829999999999998,1.615,1.906,0.2909999999999999
iwls2005__tv80,25.6137,16.8727,3,3,3,3,4,7,38.75150000000001,11.919199999999991,26.832300000000018,0.4338647737832664,0.13344827972278503,-0.3004164940604813,0.693504644014237,0.22668603505802185,1.159853275992917,0.4227759507547009,"3,2,1",102.455,5,7,14.067,14.931,0.863999999999999,1.723,2.355,0.6319999999999999
iwls2005__usb_funct,47.8333,45.5605,1,1,3,2,3,4,4.545600000000007,0.0,4.545600000000007,0.049885317325314774,0.0,-0.049885317325314774,0.12209753619380517,0.06878105415595111,0.19430975506229556,0.13756210831190221,2,143.5,4,4,14.197,14.135,-0.06199999999999939,1.615,1.574,-0.040999999999999925
iwls2005__usb_phy,16.4317,9.844,1,1,3,2,3,6,13.1754,0.0,13.1754,0.6692096708655019,0.0,-0.6692096708655019,0.7527820817447759,0.05006705409029945,0.8363544926240499,0.1001341081805989,2,49.295,3,6,13.87,14.433,0.5630000000000006,1.61,1.886,0.2759999999999998
iwls2005__vga_lcd,72.3914,36.9733,4,3,4,4,7,14,131.48120000000003,68.61390000000003,62.8673,0.2937142857142858,0.16652282914966796,-0.12719145656461786,1.6803494052227663,0.6435806558273303,5.713474914216824,2.428850969118056,"7,4,2",506.74,8,14,23.859,55.689,31.83,9.521,41.303,31.781999999999996
iwls2005__wb_conmax,64.048,51.959,2,2,3,2,4,5,42.35,6.0830000000000055,36.266999999999996,0.2827216043366223,0.040609103168351236,-0.24211250116827107,0.9163195486094172,0.5546160290125643,2.1201831733814,1.5312515223851513,"2,1",256.192,4,5,14.199,14.472,0.2729999999999997,1.771,1.714,-0.05699999999999994
iwls2005__wb_dma,29.6883,24.523,2,2,3,2,4,5,16.716900000000006,1.221,15.495900000000006,0.23106236523469903,0.016876762315475205,-0.21418560291922384,0.6944877321284095,0.39967336139101883,1.5987657563025213,1.1466211484593838,"2,1",118.753,4,5,14.357,14.32,-0.036999999999999034,1.755,1.7,-0.05499999999999994
openroad__dynamic_node,48.1444,26.9055,4,2,3,3,5,9,96.6224,6.597000000000001,90.02539999999999,0.5026029420944217,0.04260637061148571,-0.459996571482936,1.014420125752159,0.33072446161284147,2.731256296985197,1.0852127412229713,"4,2",240.722,5,9,14.876,17.553,2.6770000000000014,2.349,4.874,2.5249999999999995
openroad__ethmac,48.738,52.399,3,3,5,3,6,6,123.19500000000001,2.6080000000000183,120.58699999999999,0.3382758762716751,0.007161195546219691,-0.3311146807254554,1.0087888189370706,0.808297258413752,2.740445126630852,3.0214121258633924,"4,2,1",292.428,6,6,18.786,16.69,-2.096,5.743,3.369,-2.374
openroad__fifo,16.4114,14.859,3,2,4,3,5,6,14.181800000000004,3.3150000000000013,10.866800000000003,0.1408349718961648,0.038618809631985475,-0.10221616226417934,0.3221489331062784,0.19708318589676627,0.8924584870848707,0.7134455719557194,"4,2",82.057,5,6,14.736,14.721,-0.015000000000000568,2.393,2.141,-0.2519999999999998
openroad__gcd,19.884,15.335,1,1,2,1,2,3,4.5489999999999995,0.0,4.5489999999999995,0.2966416693837626,0.0,-0.2966416693837626,0.2966416693837626,0.0,0.2966416693837626,0.0,1,39.768,2,3,13.904,14.145,0.24099999999999966,1.603,1.582,-0.020999999999999908
openroad__jpeg,64.5162,44.1655,3,3,4,3,6,9,80.7652,2.82650000000001,77.93869999999998,0.26365250773670396,0.009226917200945412,-0.25442559053575853,1.4661800282334931,0.7382592904874489,4.299942495687176,2.6281524685780004,"4,2,1",387.097,6,9,16.409,18.983,2.5740000000000016,3.839,6.142,2.3030000000000004
openroad__spi,15.123,8.318,1,1,2,1,2,4,6.805,0.0,6.805,0.8181053137773503,0.0,-0.8181053137773503,0.8181053137773503,0.0,0.8181053137773503,0.0,1,30.246,2,4,13.941,14.106,0.16499999999999915,1.567,1.557,-0.010000000000000009
openroad__uart,16.555,9.91,1,1,3,2,3,6,13.300999999999998,0.010999999999999233,13.29,0.6714624665556059,0.0005553031450350463,-0.6709071634105709,0.6709986399377423,0.00027765157251752315,0.6714624665556059,0.0005553031450350463,2,49.665,3,6,14.07,14.65,0.5800000000000001,1.604,1.879,0.2749999999999999
