case,scope,level,requested_dbu,requested_um,length_idx,aligned_um,delta_um,abs_delta_um,rel_error_ratio,full_leaf_level,wirelength_unit_um,unit_res_ohm_per_um,unit_cap_pf_per_um,extra_res_ohm,extra_cap_pf,detail_path,segment_pattern_id,buffer_count,weighted_buffer_count,branch_multiplicity_from_buffers,terminal_branch_buffer,selected_leaf_level
iwls2005__ac97_ctrl,full,0,86286,86.286,3,128.0916,41.8056,41.8056,0.48450000000000004,false,42.6972,0.914,0.0002007,38.2103184,0.00839038392,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ac97_ctrl,full,1,42910,42.91,2,85.3944,42.4844,42.4844,0.9901000000000001,false,42.6972,0.914,0.0002007,38.8307416,0.00852661908,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ac97_ctrl,full,2,21475,21.475,1,42.6972,21.2222,21.2222,0.9882,false,42.6972,0.914,0.0002007,19.3970908,0.00425929554,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ac97_ctrl,full,3,11632,11.632,1,42.6972,31.0652,31.0652,2.6707,true,42.6972,0.914,0.0002007,28.3935928,0.0062347856400000005,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__ac97_ctrl,selected,0,,86.286,3,128.0916,41.8056,41.8056,0.48450000000000004,,42.6972,0.914,0.0002007,38.2103184,0.00839038392,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,26,1,1,1.0,false,false
iwls2005__ac97_ctrl,selected,1,,42.91,2,85.3944,42.4844,42.4844,0.9901000000000001,,42.6972,0.914,0.0002007,38.8307416,0.00852661908,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,6,1,4,4.0,false,false
iwls2005__ac97_ctrl,selected,2,,21.475,1,42.6972,21.2222,21.2222,0.9882,,42.6972,0.914,0.0002007,19.3970908,0.00425929554,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,1,1,16,16.0,true,true
iwls2005__ac97_ctrl,source_trunk,-1,,213.486,5,213.48600000000002,2.842170943040401e-14,2.842170943040401e-14,1.3313149073196373e-16,,42.6972,0.914,0.0002007,2.5977442419389264e-14,5.704237082682084e-18,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top/work/icts-native/cts_detail.log,,,,,,
iwls2005__des,full,0,99454,99.454,3,144.048,44.594,44.594,0.4484,false,48.016,0.914,0.0002007,40.758916,0.0089500158,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
iwls2005__des,full,1,49234,49.234,2,96.032,46.798,46.798,0.9505,false,48.016,0.914,0.0002007,42.773372,0.009392358600000001,.trellis/tasks/06-14-cts-wirelength-unit-distortion/runs/wirelength_trace_cts/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts_detail.log,,,,,,
