run,case,cts_log,policy,adaptive_reason,front_size,median_depth,timing_depth,median_buffered_levels,timing_buffered_levels,selected_depth,depth_candidates,first_monotone_hard_fail
phase3_shape,iwls2005__des,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,37,6,6,3,3,6,4,"htree_load_group_node_10 anchor=(50518,189433) fanout_violation load_count=20, max_fanout=4, split=infeasible"
phase3_shape,iwls2005__spi,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,29,3,3,2,2,3,4,"htree_load_group_node_4 anchor=(32519,21282) fanout_violation load_count=17, max_fanout=4, split=infeasible"
phase3_shape,iwls2005__usb_funct,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,8,2,2,1,1,2,4,"htree_load_group_node_1 anchor=(118397,102651) fanout_violation load_count=25, max_fanout=4, split=infeasible"
phase3_shape,iwls2005__vga_lcd,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,31,9,9,5,5,9,4,"htree_load_group_node_15 anchor=(126592,486581) fanout_violation load_count=18, max_fanout=4, split=infeasible"
phase3_shape,openroad__dynamic_node,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top/work/icts-native/cts.log,adaptive_shape_timing,timing_candidate_reduces_depth_or_buffered_levels,100,6,6,4,3,6,4,"htree_load_group_node_9 anchor=(131403,62978) fanout_violation load_count=20, max_fanout=4, split=infeasible"
phase3_shape,openroad__gcd,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/openroad__gcd/cts_baseline/cts/ecc-tools/gcd/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,3,1,1,1,1,1,3,
phase3_shape,openroad__uart,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_adaptive_shape_focus_eval/openroad__uart/cts_baseline/cts/ecc-tools/uart/work/icts-native/cts.log,adaptive_shape_median,timing_candidate_adds_depth_or_buffered_levels,41,1,2,1,1,1,4,"htree_load_group_node_0 anchor=(23950,31250) fanout_violation load_count=20, max_fanout=4, split=infeasible"
phase3_full_depth,iwls2005__des,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/iwls2005__des/cts_baseline/cts/ecc-tools/des/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,37,6,6,3,3,6,8,"htree_load_group_node_10 anchor=(50518,189433) fanout_violation load_count=20, max_fanout=4, split=infeasible"
phase3_full_depth,iwls2005__spi,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,29,3,3,2,2,3,5,"htree_load_group_node_4 anchor=(32519,21282) fanout_violation load_count=17, max_fanout=4, split=infeasible"
phase3_full_depth,iwls2005__usb_funct,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/iwls2005__usb_funct/cts_baseline/cts/ecc-tools/usbf_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,8,2,2,1,1,2,5,"htree_load_group_node_1 anchor=(118397,102651) fanout_violation load_count=25, max_fanout=4, split=infeasible"
phase3_full_depth,iwls2005__vga_lcd,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/iwls2005__vga_lcd/cts_baseline/cts/ecc-tools/vga_enh_top/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,31,9,9,5,5,9,12,"htree_load_group_node_15 anchor=(126592,486581) fanout_violation load_count=18, max_fanout=4, split=infeasible"
phase3_full_depth,openroad__dynamic_node,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/openroad__dynamic_node/cts_baseline/cts/ecc-tools/dynamic_node_top/work/icts-native/cts.log,adaptive_shape_timing,timing_candidate_reduces_depth_or_buffered_levels,100,6,6,4,3,6,9,"htree_load_group_node_9 anchor=(131403,62978) fanout_violation load_count=20, max_fanout=4, split=infeasible"
phase3_full_depth,openroad__gcd,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/openroad__gcd/cts_baseline/cts/ecc-tools/gcd/work/icts-native/cts.log,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,3,1,1,1,1,1,3,
phase3_full_depth,openroad__uart,.trellis/tasks/06-13-commercial-cts-capability-align/runs/phase3_full_depth_focus_eval/openroad__uart/cts_baseline/cts/ecc-tools/uart/work/icts-native/cts.log,adaptive_shape_median,timing_candidate_adds_depth_or_buffered_levels,41,1,2,1,1,1,4,"htree_load_group_node_0 anchor=(23950,31250) fanout_violation load_count=20, max_fanout=4, split=infeasible"
