metric,unit,run,case_count,mean_delta,mae,mse,rmse,r2,geomean_ratio
latency_avg_ns,ns,phase1,7,0.098,0.098,0.0113045,0.106323,0.319105,1.6124
latency_avg_ns,ns,phase3_shape,7,0.0857143,0.0857143,0.00911764,0.0954863,0.450824,1.55296
latency_avg_ns,ns,phase3_full_depth,7,0.0857143,0.0857143,0.00911764,0.0954863,0.450824,1.55296
skew_max_ns,ns,phase1,7,0.0247143,0.029,0.000974714,0.0312204,-1.89005,1.70719
skew_max_ns,ns,phase3_shape,7,0.0242857,0.0285714,0.000960571,0.0309931,-1.84812,1.69514
skew_max_ns,ns,phase3_full_depth,7,0.0242857,0.0285714,0.000960571,0.0309931,-1.84812,1.69514
buffer_count,count,phase1,7,54.7143,56.7143,10901.9,104.412,0.99712,1.07556
buffer_count,count,phase3_shape,7,54.4286,56.4286,10868.7,104.253,0.997129,1.07518
buffer_count,count,phase3_full_depth,7,54.4286,56.4286,10868.7,104.253,0.997129,1.07518
clock_wire_length_um,um,phase1,7,2709.79,2709.79,2.9166e+07,5400.55,0.972621,1.22338
clock_wire_length_um,um,phase3_shape,7,2705.08,2705.08,2.91493e+07,5399.01,0.972637,1.22302
clock_wire_length_um,um,phase3_full_depth,7,2705.08,2705.08,2.91493e+07,5399.01,0.972637,1.22302
clock_total_cap_pf,pF,phase1,7,0.164286,0.164286,0.0411426,0.202836,0.999902,1.08934
clock_total_cap_pf,pF,phase3_shape,7,0.173714,0.173714,0.0479877,0.219061,0.999886,1.09058
clock_total_cap_pf,pF,phase3_full_depth,7,0.173714,0.173714,0.0479877,0.219061,0.999886,1.09058
clock_power_mw,mW,phase1,7,0.116379,0.116379,0.0439462,0.209633,0.998557,1.09707
clock_power_mw,mW,phase3_shape,7,0.137521,0.137521,0.0522342,0.228548,0.998285,1.10699
clock_power_mw,mW,phase3_full_depth,7,0.137521,0.137521,0.0522342,0.228548,0.998285,1.10699
drv_max_cap_real_nets,count,phase1,7,-0.428571,0.428571,1.28571,1.13389,0.708333,
drv_max_cap_real_nets,count,phase3_shape,7,-0.428571,0.428571,1.28571,1.13389,0.708333,
drv_max_cap_real_nets,count,phase3_full_depth,7,-0.428571,0.428571,1.28571,1.13389,0.708333,
drv_max_tran_real_nets,count,phase1,7,0,0,0,0,1,
drv_max_tran_real_nets,count,phase3_shape,7,0,0,0,0,1,
drv_max_tran_real_nets,count,phase3_full_depth,7,0,0,0,0,1,
