case,summary_ecc_skew_max_ns,summary_innovus_skew_max_ns,skew_max_delta_ns,skew_max_ratio,summary_ecc_latency_avg_ns,summary_innovus_latency_avg_ns,latency_avg_delta_ns,latency_avg_ratio,latency_spread_delta_ns,tree_min_depth_delta,tree_max_depth_delta,tree_depth_span_delta,buffer_count_delta,trunk_wire_length_ratio,leaf_wire_length_ratio,total_wire_length_ratio,trunk_total_cap_ratio,leaf_total_cap_ratio,clock_total_cap_ratio,drive_avg_delta,timing_clock_stage_avg_delta,timing_clock_stage_spread_delta,latency_classification,latency_reasons,skew_classification,skew_reasons,repair_recommendation,l3_classification,ecc_tool_dir,cts_log_found,ecc_log_found,config_enable_sink_clustering,config_max_fanout,config_max_cap,htree_global_policy,htree_global_adaptive_reason,htree_global_front_size,htree_global_median_depth,htree_global_timing_depth,htree_global_selected_depth,htree_global_selected_buffered_levels,htree_global_selected_delay_ns,htree_global_selected_power_w,depth_candidate_rows,depth_status_histogram,depth_feasible_count,depth_failed_count,depth_min_reported,depth_max_reported,selected_depth_row_split_groups,selected_depth_row_split_buffers,selected_depth_row_best_delay_ns,selected_depth_row_best_power_mw,first_monotone_hard_fail,first_hard_fail_load_count,first_hard_fail_max_fanout,first_hard_fail_loads_over_one_level,first_hard_fail_loads_over_two_level,first_hard_fail_node,htree_overview_levels,htree_overview_depth_candidates,htree_overview_selected_depth,htree_overview_final_frontier_count,htree_overview_inserted_insts,htree_overview_inserted_nets,htree_overview_selected_terminal_branch_buffered_levels,htree_overview_htree_load_group_count,htree_overview_htree_load_cap_min,htree_overview_htree_load_cap_max,htree_overview_htree_load_cap_mean,htree_overview_htree_load_cap_median,htree_overview_selected_root_driver_cell_master,htree_overview_used_boundary_relaxation,htree_load_cap_range_to_mean,topology_load_count_label,topology_load_count,topology_span_width_height,topology_sqrt_area_um,topology_half_perimeter_um,cluster_leaf_count,cluster_leaf_min_distance,cluster_leaf_max_distance,cluster_leaf_mean_distance,cluster_leaf_median_distance,source_trunk_stage,source_trunk_status,source_trunk_length_um,source_trunk_required_load_cap_pf,source_trunk_source_drive_pf,source_trunk_strict_candidates,source_trunk_relaxed_candidates,source_trunk_inserted_insts,source_trunk_inserted_nets,fast_cluster_input_loads,fast_cluster_valid_entries,fast_cluster_partition_entries,fast_cluster_partition_drafts,fast_cluster_partition_avg_fanout,fast_cluster_partition_fanout_histogram,fast_cluster_final_clusters,fast_cluster_final_assigned_loads,fast_cluster_final_avg_fanout,fast_cluster_final_fanout_histogram,fast_cluster_polish_active_clusters,fast_cluster_merge_attempted_clusters,fast_cluster_total_merges,fast_cluster_boundary_rounds,fast_cluster_boundary_moved_loads,prepare_htree_sinks,prepare_cluster_buffers,source_segment_strict_candidates_log,source_segment_relaxed_candidates_log,source_segment_used_boundary_relaxation,source_segment_selected_pattern_id,source_segment_policy,source_segment_selected_buffer_count,cluster_compression_ratio,cluster_count_minus_min_legal,htree_selected_depth_minus_innovus_max_depth,ecc_report_depth_minus_htree_selected_depth,cluster_buffers_to_htree_insts_ratio,source_segment_has_buffer
iwls2005__ac97_ctrl,0.061,0.031,0.03,1.96774,0.2675,0.2255,0.042,1.18625,0.029,0,1,1,65,1.62535,0.887438,1.15192,1.30425,0.920586,1.0613,0.32563,0.95855,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ac97_ctrl/cts_baseline/cts/ecc-tools/ac97_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,27,6,6,6,3,0.205021,0.000256,4,failed:1;feasible:2;selected:1,3,1,6,8,59,146,0.205,256.167,"htree_load_group_node_9 anchor=(131338,73267) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,9,6,4,6,34274,230,230,2/6,64,0.0056,0.0185,0.01,0.0078,BUFX20H7L,false,1.29,load_count (local buffer),469,198.400 x 185.500 um,191.842,191.95,469,0.27,24.09,7.09,6.85,top_segment,finished,213.486,0.0044,0.15,31686,0,0,0,1876,1876,1876,469,4.000,4:469;elapsed_time:0,469,1876,4.000,4:469;elapsed_time:1,469,0,0,1,0,469,469,31686,0,false,2239440,pareto_median,0,4,0,1,0,2.03913,false
iwls2005__des,0.067,0.035,0.032,1.91429,0.3105,0.2285,0.082,1.35886,0.035,1,2,1,49,1.54463,0.886409,1.13143,1.2136,0.928842,1.03696,-0.03081,1.94175,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__des/cts_baseline/cts/ecc-tools/des,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,37,6,6,6,3,0.214181,0.000249,4,failed:1;feasible:2;selected:1,3,1,6,8,56,146,0.2142,248.845,"htree_load_group_node_10 anchor=(50518,189433) fanout_violation load_count=20, max_fanout=4, split=infeasible",20,4,16,4,10,6,4,6,30218,230,230,2/6,64,0.0062,0.0214,0.0115,0.0094,BUFX20H7L,false,1.32174,load_count (local buffer),496,235.250 x 220.499 um,227.755,227.875,496,0.53,30.29,7.84,7.01,top_segment,finished,240.08,0.0044,0.15,29580,0,1,1,1984,1984,1984,496,4.000,4:496;elapsed_time:0,496,1984,4.000,4:496;elapsed_time:1,496,0,0,1,0,496,496,29580,0,false,2281085,pareto_median,1,4,0,1,1,2.15652,true
iwls2005__mem_ctrl,0.039,0.029,0.01,1.34483,0.247,0.171,0.076,1.44444,0.012,2,2,0,39,1.6277,0.834147,1.10675,1.3162,0.88841,1.04178,0.32906,2,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__mem_ctrl/cts_baseline/cts/ecc-tools/mc_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,111,5,5,5,3,0.181835,0.000133,4,failed:1;feasible:2;selected:1,3,1,5,7,32,74,0.1818,133.226,"htree_load_group_node_38 anchor=(132737,25938) fanout_violation load_count=19, max_fanout=4, split=infeasible",19,4,15,3,38,5,4,5,13491,116,116,2/5,32,0.0066,0.0191,0.009,0.0075,BUFX20H7L,false,1.38889,load_count (local buffer),234,138.850 x 146.651 um,142.697,142.75,234,0.1,16.27,7.35,7.2,top_segment,finished,164.049,0.0044,0.15,21632,0,0,0,934,934,934,234,3.991,3:2;4:232;elapsed_time:0,234,934,3.991,3:2;4:232;elapsed_time:1,234,0,0,1,3,234,234,21632,0,false,946768,pareto_median,0,3.99145,0,1,1,2.01724,false
iwls2005__pci,0.077,0.047,0.03,1.6383,0.2725,0.2325,0.04,1.17204,0.03,0,1,1,37,1.6402,0.954286,1.21698,1.37597,0.952366,1.1112,0.56946,0.15,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk;higher_clock_cap_load,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__pci/cts_baseline/cts/ecc-tools/pci_bridge32,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,35,6,6,6,3,0.223418,0.000327,4,failed:1;feasible:2;selected:1,3,1,6,8,39,89,0.2234,327.149,"htree_load_group_node_197 anchor=(83203,149118) fanout_violation load_count=18, max_fanout=4, split=infeasible",18,4,14,2,197,6,4,6,70878,173,173,2/6,64,0.0062,0.0384,0.0124,0.0119,BUFX20H7L,false,2.59677,load_count (local buffer),370,243.310 x 254.196 um,248.693,248.753,370,0.15,61.59,10.18,7.87,top_segment,finished,130.241,0.0044,0.15,21945,0,0,0,1478,1478,1478,370,3.995,3:2;4:368;elapsed_time:0,370,1478,3.995,3:2;4:368;elapsed_time:1,370,0,0,1,1,370,370,21945,0,false,1608291,pareto_median,0,3.99459,0,1,0,2.13873,false
iwls2005__sasc,0.045,0.012,0.033,3.75,0.144,0.1065,0.0375,1.35211,0.033,0,1,1,3,1.78225,0.773361,1.08548,1.28571,0.906383,1.04348,0.13187,0.695,1,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;depth_or_stage_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__sasc/cts_baseline/cts/ecc-tools/sasc_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,4,2,2,2,1,0.079475,2.3e-05,4,failed:1;feasible:2;selected:1,3,1,2,4,3,8,0.0795,22.753,"htree_load_group_node_2 anchor=(37842,29150) fanout_violation load_count=18, max_fanout=4, split=infeasible",18,4,14,2,2,2,4,2,3416,12,12,1/2,4,0.0064,0.0167,0.0115,0.0114,BUFX16H7L,false,0.895652,load_count (local buffer),29,46.652 x 34.300 um,40.002,40.476,29,0.35,17.53,7.03,6.62,top_segment,finished,57.358,0.0033,0.15,9090,0,0,0,116,116,116,29,4.000,4:29;elapsed_time:0,29,116,4.000,4:29;elapsed_time:1,29,0,0,1,0,29,29,9090,0,false,24,pareto_median,0,4,0,-1,2,2.41667,false
iwls2005__simple_spi,0.017,0.008,0.009,2.125,0.15,0.102,0.048,1.47059,0.01,1,1,0,2,1.64315,0.875191,1.11885,1.22078,0.961832,1.05769,0.05106,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__simple_spi/cts_baseline/cts/ecc-tools/simple_spi_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,8,2,2,2,1,0.070327,1.9e-05,4,feasible:3;selected:1,4,0,2,5,4,9,0.0703,18.898,"htree_load_group_node_2 anchor=(31430,39163) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,2,2,4,2,7296,13,13,0/2,4,0.0069,0.0117,0.0088,0.0084,BUFX16H7L,false,0.545455,load_count (local buffer),33,40.602 x 45.500 um,42.981,43.051,33,2.15,17.12,7.37,7.85,top_segment,finished,63.354,0.0033,0.15,12169,0,0,0,130,130,130,33,3.939,3:2;4:31;elapsed_time:0,33,130,3.939,3:2;4:31;elapsed_time:1,33,0,0,1,0,33,33,12169,0,false,24,pareto_median,0,3.93939,0,-1,2,2.53846,false
iwls2005__spi,0.04,0.017,0.023,2.35294,0.204,0.111,0.093,1.83784,0.026,2,2,0,12,1.83484,0.889577,1.21444,1.32248,0.925703,1.07711,-0.58952,2,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__spi/cts_baseline/cts/ecc-tools/spi_top,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,29,3,3,3,2,0.119988,2.9e-05,4,failed:1;feasible:2;selected:1,3,1,3,5,8,18,0.12,29.176,"htree_load_group_node_4 anchor=(32519,21282) fanout_violation load_count=17, max_fanout=4, split=infeasible",17,4,13,1,4,3,4,3,9560,30,30,2/3,8,0.0065,0.0138,0.009,0.0081,BUFX16H7L,false,0.811111,load_count (local buffer),58,71.207 x 77.000 um,74.047,74.103,58,0.59,18,8.37,7.63,top_segment,finished,75.311,0.0033,0.15,12374,0,0,0,229,229,229,58,3.948,3:3;4:55;elapsed_time:0,58,229,3.948,3:3;4:55;elapsed_time:1,58,0,0,1,2,58,58,12374,0,false,24,pareto_median,0,3.94828,0,0,2,1.93333,false
iwls2005__ss_pcm,0.019,0.009,0.01,2.11111,0.144,0.103,0.041,1.39806,0.011,1,1,0,2,1.70061,0.842569,1.13593,1.26804,0.898204,1.03409,0.10833,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__ss_pcm/cts_baseline/cts/ecc-tools/pcm_slv_top,true,true,true,4,0.1500 pF,adaptive_shape_median,median_changes_depth_or_buffered_levels,40,1,2,1,1,0.080448,1.4e-05,4,feasible:3;selected:1,4,0,1,4,2,7,0.0804,13.638,"htree_load_group_node_0 anchor=(26100,24250) fanout_violation load_count=22, max_fanout=4, split=infeasible",22,4,18,6,0,1,4,1,1872,9,9,0/1,2,0.0129,0.0194,0.0162,0.0162,BUFX12H7L,false,0.401235,load_count (local buffer),22,37.550 x 30.450 um,33.814,34,22,1.46,10.77,6.43,6.45,top_segment,finished,47.034,0.003,0.15,8962,0,0,0,87,87,87,22,3.955,3:1;4:21;elapsed_time:0,22,87,3.955,3:1;4:21;elapsed_time:1,22,0,0,1,2,22,22,8962,0,false,24,pareto_median,0,3.95455,0,-2,3,2.44444,false
iwls2005__systemcaes,0.047,0.037,0.01,1.27027,0.245,0.1805,0.0645,1.35734,0.012,1,1,0,12,1.54457,0.945715,1.17509,1.27547,0.946633,1.07134,0.2886,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcaes/cts_baseline/cts/ecc-tools/aes,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,9,4,4,4,2,0.147034,7.2e-05,4,feasible:3;selected:1,4,0,4,7,16,51,0.147,71.987,"htree_load_group_node_6 anchor=(131933,50915) fanout_violation load_count=19, max_fanout=4, split=infeasible",19,4,15,3,6,4,4,4,9860,71,71,2/4,16,0.0064,0.0234,0.0157,0.0172,BUFX20H7L,false,1.0828,load_count (local buffer),168,144.907 x 141.400 um,143.143,143.154,168,0.89,23.87,8.97,8.33,top_segment,finished,166.396,0.0044,0.15,21528,0,0,0,670,670,670,168,3.988,3:2;4:166;elapsed_time:0,168,670,3.988,3:2;4:166;elapsed_time:1,168,0,0,1,2,168,168,21528,0,false,947221,pareto_median,0,3.9881,0,0,1,2.3662,false
iwls2005__systemcdes,0.026,0.017,0.009,1.52941,0.1695,0.113,0.0565,1.5,0.011,1,1,0,4,1.72237,0.903591,1.21167,1.32927,0.938424,1.08589,0.20779,1,0,ecc_latency_late,deeper_tree_or_stage_count;longer_or_heavier_source_trunk,ecc_skew_worse,latency_spread_larger;trunk_leaf_length_imbalance;trunk_leaf_cap_imbalance,tree_level_candidate_scoring_or_topology_depth_balance;source_trunk_buffering_or_sizing;rc_drv_aware_selection,l3_aligned_under_50ps,/home/liweiguo/project/ecc-tools-dev/.trellis/tasks/06-13-commercial-cts-capability-align/runs/l3_native_ground_coupling_full_detail/iwls2005__systemcdes/cts_baseline/cts/ecc-tools/des,true,true,true,4,0.1500 pF,adaptive_front_midpoint,same_shape_use_delay_midpoint_power,8,2,2,2,1,0.085018,2.3e-05,4,feasible:3;selected:1,4,0,2,5,4,16,0.085,22.963,"htree_load_group_node_1 anchor=(35091,42615) fanout_violation load_count=23, max_fanout=4, split=infeasible",23,4,19,7,1,2,4,2,7270,20,20,1/2,4,0.0198,0.0217,0.0209,0.0209,BUFX16H7L,false,0.0909091,load_count (local buffer),49,69.598 x 74.549 um,72.031,72.073,49,1.14,21.25,7.6,7.17,top_segment,finished,90.326,0.0033,0.15,12542,0,0,0,190,190,190,49,3.878,2:2;3:2;4:45;elapsed_time:0,49,190,3.878,2:2;3:2;4:45;elapsed_time:1,49,2,0,1,3,49,49,12542,0,false,24,pareto_median,0,3.87755,1,-1,2,2.45,false
