field,case_count,phase1_mean,candidate_mean,candidate_minus_phase1_mean,abs_error_improved_cases,abs_error_worsened_cases,unchanged_cases
latency_avg_delta_ns,23,0.0619565,0.0404783,-0.0214783,16,6,1
skew_max_delta_ns,23,0.0178696,0.0205652,0.00269565,10,10,3
tree_max_depth_delta,23,1.30435,0.913043,-0.391304,8,0,15
timing_clock_stage_avg_delta,23,1.22417,0.766478,-0.457691,13,3,7
timing_clock_stage_spread_delta,23,0.217391,0.304348,0.0869565,4,2,17
trunk_wire_length_ratio,23,1.64151,1.61755,-0.0239657,13,9,1
leaf_wire_length_ratio,23,0.924568,0.929392,0.00482374,7,15,1
clock_total_cap_ratio,23,1.06837,1.06749,-0.000876478,11,10,2
buffer_count_delta,23,37.3913,20.1739,-17.2174,14,7,2
htree_selected_depth_minus_innovus_max_depth,23,-0.0434783,-1.95652,-1.91304,0,16,7
ecc_report_depth_minus_htree_selected_depth,23,1.34783,2.86957,1.52174,1,16,6
selected_depth_row_split_groups,23,50.5217,30.0435,-20.4783,9,3,11
selected_depth_row_split_buffers,23,113.652,147.435,33.7826,14,6,3
selected_depth_row_split_local_depth,0,,,,0,0,0
first_hard_fail_load_count,0,,,,0,0,0
first_hard_fail_loads_over_two_level,0,,,,0,0,0
cluster_leaf_mean_distance,23,8.3487,8.87,0.521304,5,16,2
cluster_leaf_max_distance,23,25.8896,27.1639,1.27435,6,14,3
cluster_count_minus_min_legal,23,0.130435,0.130435,0,0,0,23
source_segment_selected_buffer_count,23,0.130435,0,-0.130435,2,0,21
